Fuel Type,Model Year,Engine Size,Cylinders,Fuel Consumption City
Diesel,2013,2.0,4.0,8.4
Diesel,2005,1.9,4.0,7.4
Diesel,2015,2.0,4.0,7.8
Diesel,2023,3.0,6.0,11.2
Diesel,2017,2.8,4.0,12.1
Diesel,2005,2.0,4.0,10.0
Diesel,2018,3.0,6.0,10.8
Diesel,1997,1.9,4.0,7.4
Diesel,2015,2.0,4.0,7.8
Diesel,2013,2.0,4.0,8.1
Diesel,1999,1.9,4.0,8.1
Diesel,2014,2.0,4.0,8.3
Diesel,1999,1.9,4.0,6.7
Diesel,2020,3.0,6.0,11.1
Diesel,2009,3.0,6.0,12.1
Diesel,2004,1.9,4.0,8.3
Diesel,2016,3.0,6.0,12.1
Diesel,2009,3.0,6.0,13.1
Diesel,2005,3.2,6.0,10.2
Diesel,2019,3.0,6.0,11.8
